Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/StructureDefinition-SexoBiologico.json	1541	38	0	0	0	0	0	97	0	92	0	0	0	0	0	0	0	0	0	0	19	67	0	0	0	1	0	0
fsh-generated/resources/ValueSet-VSIdentidadDeGenero.json	823	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	19	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSIdentidadDeGenero.json	1227	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	15	0	0	0	0	0	0
fsh-generated/resources/ValueSet-VScalificacionPrevisional.json	859	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	19	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-IdentidadDeGenero.json	1948	49	0	0	0	0	0	117	0	117	0	0	0	0	0	0	0	0	0	0	18	71	0	0	0	1	0	0
fsh-generated/resources/ValueSet-VSGrupoMarcas.json	787	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	18	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSNivelEducacionalDesc.json	934	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	3	15	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Ocupacion.json	4855	154	0	0	0	0	0	1055	0	1026	0	0	0	0	0	0	0	1	0	0	223	891	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-PaisOrigenMPI.json	2206	78	0	0	0	0	0	261	0	253	0	0	0	0	0	0	0	0	0	0	43	268	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-CSGrupoMarcas.json	1081	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	20	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSOcupacionesDet.json	46032	35	0	0	0	0	0	0	1	45	0	0	0	1	0	0	0	0	0	0	83	78	0	0	0	7	0	0
fsh-generated/resources/CodeSystem-CSEstadoCivil.json	1205	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	5	15	0	0	0	0	0	0
fsh-generated/resources/ValueSet-VSEstadoCivil.json	787	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	18	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSValoracionDesempeno.json	1142	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	16	0	0	0	0	0	0
fsh-generated/resources/ValueSet-VSOcupacionesDet.json	877	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	28	0	0	0	0	0	0
